POST_ID,TEXTO,LIKES
3045034242242249,"Ingresa a www.maxidespensa.com.sv y descubre una nueva forma de hacer tus compras, recibiendo hasta tu casa con Servicio a Domicilio o recogiendo en tienda con Pickup.
*El tiempo de entrega es:
-Servicio a Domicilio: 1 a 3 días (max 10 km).
-Pickup 2 a 4 horas.
*El monto mínimo por pedido es de $25, costo de envío es de $4.25 y será incluído en el cobro final.",1187
3004394096306264,"Tu seguridad es muy importante para nosotros, por eso hemos tomado estrictas medidas de prevención para ingresar a nuestras tiendas.",27
3004382869640720,¡Prevenir es responsabilidad de todos! Cuando nos visites respeta la señalización de seguridad.,18
3004371162975224,Llevamos un minucioso control de limpieza e higiene para que puedas hacer tus compras sin preocuparte.,57
3012367012175639,¡Haz tu pedido sin importar el día y recibe en la puerta de tu casa! Ingresa a centroamerica.walmart.com y aprovecha.,461
3004309366314737,Nos caracterizarnos por adaptarnos y regirnos bajo las normas de higiene necesarias que la situación exige.,43
3004303046315369,Para nosotros es de suma importancia que nuestros espacios sean adecuados y seguros para tus visitas.,47
3004292019649805,"Cuidamos de ti y a nuestros asociados, por eso instalamos barreras de seguridad en todas las cajas.",55
